! 1H energy loss (dE/dX) in Cr2O3
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
15.000000	0.0271027 	15.000000	0.0234954 	15.000000	0.0232209 	15.000000	0.023221  	15.000000	0.0232208 	15.000000	0.0234851 	15.000000	1.03644e-05	
16.000000	0.0257062 	16.000000	0.022346  	16.000000	0.0220809 	16.000000	0.0220806 	16.000000	0.0220808 	16.000000	0.0223362 	16.000000	9.78481e-06	
17.000000	0.0244599 	17.000000	0.0213129 	17.000000	0.0210591 	17.000000	0.0210579 	17.000000	0.0210585 	17.000000	0.0213036 	17.000000	9.26951e-06	
18.000000	0.0233404 	18.000000	0.0203791 	18.000000	0.0201368 	18.000000	0.0201351 	18.000000	0.0201361 	18.000000	0.0203703 	18.000000	8.80822e-06	
19.000000	0.0223288 	19.000000	0.0195309 	19.000000	0.0192997 	19.000000	0.019298  	19.000000	0.0192992 	19.000000	0.0195225 	19.000000	8.39273e-06	
20.000000	0.0214101 	20.000000	0.0187569 	20.000000	0.0185366 	20.000000	0.0185349 	20.000000	0.0185364 	20.000000	0.0187489 	20.000000	8.01644e-06	
21.000000	0.0205717 	21.000000	0.0180477 	21.000000	0.0178379 	21.000000	0.0178361 	21.000000	0.017838  	21.000000	0.01804   	21.000000	7.67398e-06	
22.000000	0.0198034 	22.000000	0.0173953 	22.000000	0.0171956 	22.000000	0.0171939 	22.000000	0.017196  	22.000000	0.0173879 	22.000000	7.36091e-06	
23.000000	0.0190966 	23.000000	0.016793  	23.000000	0.0166032 	23.000000	0.0166014 	23.000000	0.0166038 	23.000000	0.016786  	23.000000	7.07354e-06	
24.000000	0.018444  	24.000000	0.0162354 	24.000000	0.0160556 	24.000000	0.0160531 	24.000000	0.0160558 	24.000000	0.0162286 	24.000000	6.80878e-06	
25.000000	0.0178395 	25.000000	0.0157175 	25.000000	0.0155477 	25.000000	0.0155441 	25.000000	0.0155472 	25.000000	0.0157109 	25.000000	6.56403e-06	
27.000000	0.0167548 	27.000000	0.0147847 	27.000000	0.014633  	27.000000	0.0146284 	27.000000	0.014632  	27.000000	0.0147786 	27.000000	6.12599e-06	
29.000000	0.0158086 	29.000000	0.0139678 	29.000000	0.0138321 	29.000000	0.0138276 	29.000000	0.0138318 	29.000000	0.0139621 	29.000000	5.74516e-06	
31.000000	0.0149756 	31.000000	0.0132462 	31.000000	0.0131269 	31.000000	0.0131223 	31.000000	0.0131268 	31.000000	0.0132407 	31.000000	5.41087e-06	
33.000000	0.0142362 	33.000000	0.0126038 	33.000000	0.0124995 	33.000000	0.0124953 	33.000000	0.0124998 	33.000000	0.0125987 	33.000000	5.11497e-06	
35.000000	0.0135753 	35.000000	0.0120282 	35.000000	0.0119367 	35.000000	0.0119329 	35.000000	0.0119375 	35.000000	0.0120234 	35.000000	4.8511e-06	
38.000000	0.0127051 	38.000000	0.0112687 	38.000000	0.0111952 	38.000000	0.0111901 	38.000000	0.0111946 	38.000000	0.0112642 	38.000000	4.5047e-06	
41.000000	0.0119535 	41.000000	0.010611  	41.000000	0.0105514 	41.000000	0.0105461 	41.000000	0.0105506 	41.000000	0.0106068 	41.000000	4.20642e-06	
44.000000	0.0112973 	44.000000	0.0100358 	44.000000	0.00998687	44.000000	0.00998205	44.000000	0.00998655	44.000000	0.0100319 	44.000000	3.94674e-06	
47.000000	0.0107192 	47.000000	0.00952833	47.000000	0.00948828	47.000000	0.0094837 	47.000000	0.00948817	47.000000	0.00952462	47.000000	3.71855e-06	
50.000000	0.0102057 	50.000000	0.00907709	50.000000	0.0090443 	50.000000	0.00904   	50.000000	0.00904442	50.000000	0.00907358	50.000000	3.51635e-06	
55.000000	0.00946597	55.000000	0.00842652	55.000000	0.00840314	55.000000	0.00839918	55.000000	0.0084035 	55.000000	0.00842329	55.000000	3.22598e-06	
60.000000	0.00884144	60.000000	0.00787685	60.000000	0.00786053	60.000000	0.00785661	60.000000	0.00786085	60.000000	0.00787387	60.000000	2.98166e-06	
65.000000	0.00830663	65.000000	0.00740607	65.000000	0.00739562	65.000000	0.00739099	65.000000	0.00739514	65.000000	0.00740329	65.000000	2.77312e-06	
